Día,Entrada,Salida,h:m,Tiempo,Tarifa (horaria),Pesos,Presupuesto,Approved,Estado,Billable,Customer,Project,Activity,Description,Comentario,Location,Tracking Number,Nombre de usuario,despejado
16.05.,17:00,17:30,0:30,0.50,585.00,292.50,,,open,0%,Bitson,Bitson,Gestión Interna,Ejecución de retiros 2da semana de mayo.,,,,lcolombo,0
16.05.,16:30,17:00,0:30,0.50,28.00,14.00,,,open,0%,Bitson,Cromi,Desarrollo,,,,,ddebonis,0
16.05.,16:30,17:00,0:30,0.50,585.00,292.50,,,open,0%,Bitson,Cromi,Operativo,Coordinación de funcionalidad de Alta de Cliente con @ddebonis.,,,,lcolombo,0
16.05.,15:00,16:30,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,ddebonis,0
16.05.,14:50,16:30,1:40,1.67,585.00,975.00,,,open,0%,Bitson,Bitson,Reunion,Reunión semanal.,,,,lcolombo,0
16.05.,14:45,16:27,1:42,1.71,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,nespino,0
16.05.,14:30,14:50,0:20,0.33,585.00,195.00,,,open,0%,CoopeViajes,CostaCrucerosWS,Presupuesto,Envío de mail a la lista de trabajos.,,,,lcolombo,0
16.05.,14:30,16:30,2:00,2.00,0.00,0.00,,,open,0%,Bitson,Bitson,Reunion,,,,,hbrunacci,0
16.05.,13:50,14:30,0:40,0.67,585.00,390.00,,,open,0%,Bitson,Bitson,Gestión Interna,Setup Oficina. Retiros semanales c/@cuberti.,,,,lcolombo,0
16.05.,13:30,15:00,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,,,,,ddebonis,0
16.05.,13:30,17:50,4:20,4.33,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,,,,,cuberti,0
16.05.,13:00,13:30,0:30,0.50,0.00,0.00,,,open,0%,Bitson,Bitson,Almuerzo,,,,,ddebonis,0
16.05.,11:50,14:15,2:25,2.42,0.00,0.00,,,open,0%,Kairos - Totem,Osmedica,Testing,Mantenimiento del totem para demo - Ploteo en negro,,,,hbrunacci,0
16.05.,10:30,11:00,0:30,0.50,585.00,292.50,,,open,0%,Bitson,Bitson,Gestión Interna,Ajuste Plantilla Retiros & Presupuestos.,,,,lcolombo,0
16.05.,10:20,11:50,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Bitson,Transporte,de vicente lópez a Devecoop,,,,hbrunacci,0
16.05.,10:00,18:00,8:00,8.00,28.00,224.00,,,open,0%,Betterez,Betterez,Desarrollo,"6377
",,,,abrunacci,0
16.05.,09:00,13:00,4:00,4.00,0.00,0.00,,,open,0%,Bitson,Bitson,Capacitación,React,,,,ddebonis,0
16.05.,08:30,10:20,1:50,1.83,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,Reunión en Camara Empresaria Vicente Lopez,,,,hbrunacci,0
16.05.,06:30,07:30,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Completar Requerimientos,Manos a la Obra - Ensamblado de documento pedido por ministerio,,,,hbrunacci,0
15.05.,20:40,21:12,0:32,0.54,36.56,19.71,,,open,0%,ECSA,Sigas SGS,Operativo,MercadoPago not working damn,,,,nespino,0
15.05.,16:35,17:35,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Comercial,"Hangout con Gaby de Unixono
Se mostró lo hecho en SGS, 
Se acordó seguir las charla con la federación bahiense de basquet 
Por parte de Bitson empezar a pensar cuanto sale hacer de nuevo SGS.",,,,hbrunacci,0
15.05.,16:00,17:00,1:00,1.00,36.56,36.56,,,open,0%,Bitson,Bitson,Operativo,Nfc-reader,,,,ddebonis,0
15.05.,15:50,16:25,0:35,0.58,585.00,341.25,,,open,0%,Kairos - Totem,Registro,Presupuesto,Presupuesto OT 43 con @nespino y @ddebonis.,,,,lcolombo,0
15.05.,15:00,16:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Presupuesto,Coopeviajes,,,,ddebonis,0
15.05.,15:00,15:50,0:50,0.83,585.00,487.50,,,open,0%,CoopeViajes,CostaCrucerosWS,Presupuesto,Presupuesto OT44 con @nespino y @ddebonis.,,,,lcolombo,0
15.05.,15:00,15:45,0:45,0.75,36.56,27.42,,,open,0%,Bitson,Bitson,Presupuesto,,,,,nespino,0
15.05.,14:20,15:00,0:40,0.67,585.00,390.00,,,open,0%,CoopeViajes,CostaCrucerosWS,Presupuesto,Leyendo documentación del proyecto.,,,,lcolombo,0
15.05.,14:00,15:00,1:00,1.00,0.00,0.00,,,open,0%,Bitson,Bitson,Almuerzo,,,,,ddebonis,0
15.05.,13:50,14:20,0:30,0.50,585.00,292.50,,,open,0%,Bitson,Bitson,Gestión Interna,Setup oficina. Lectura de mails. Conexión beagle. Búsqueda SD p/Beagle.,,,,lcolombo,0
15.05.,12:00,14:00,2:00,2.00,36.56,73.12,,,open,0%,ECSA,Talleres - SCA,Operativo,,,,,nespino,0
15.05.,11:30,13:00,1:30,1.50,0.00,0.00,,,open,0%,Bitson,Bitson,Gestión Interna,"Manos a la Obra Impresión de nota para firmar.
Charla con Rodrigo de Ministerio
Llevar el tótem a Devecoop",,,,hbrunacci,0
15.05.,09:40,17:00,7:20,7.33,28.00,205.33,,,open,0%,Betterez,Betterez,Desarrollo,6424 / 6438,,,,abrunacci,0
15.05.,09:00,14:00,5:00,5.00,36.56,182.80,,,open,0%,Bitson,Bitson,Operativo,Seteo de ambiente,,,,ddebonis,0
14.05.,19:50,21:36,1:46,1.78,36.56,65.19,,,open,0%,ECSA,Sigas SCA,Operativo,,,,,nespino,0
